Unit,time,crack_length
1,5,92
1,10,218
1,15,311
1,20,410
1,25,507
1,30,605
2,5,99
2,10,207
2,15,306
2,20,409
2,25,486
2,30,619
3,5,89
3,10,184
3,15,307
3,20,395
3,25,506
3,30,600
4,5,105
4,10,186
4,15,298
4,20,399
4,25,499
4,30,599
5,5,122
5,10,192
5,15,288
5,20,405
5,25,485
5,30,604
6,5,101
6,10,202
6,15,307
6,20,392
6,25,494
6,30,601
7,5,99
7,10,197
7,15,305
7,20,377
7,25,490
7,30,603
8,5,106
8,10,206
8,15,297
8,20,401
8,25,501
8,30,613
9,5,107
9,10,196
9,15,282
9,20,410
9,25,493
9,30,598
10,5,102
10,10,182
10,15,299
10,20,399
10,25,505
10,30,607
