path,cycles,crack
1,0,0.9
2,0,0.9
3,0,0.9
4,0,0.9
5,0,0.9
6,0,0.9
7,0,0.9
8,0,0.9
9,0,0.9
10,0,0.9
11,0,0.9
12,0,0.9
13,0,0.9
14,0,0.9
15,0,0.9
16,0,0.9
17,0,0.9
18,0,0.9
19,0,0.9
20,0,0.9
21,0,0.9
1,0.01,0.95
2,0.01,0.94
3,0.01,0.94
4,0.01,0.94
5,0.01,0.94
6,0.01,0.94
7,0.01,0.94
8,0.01,0.93
9,0.01,0.92
10,0.01,0.92
11,0.01,0.93
12,0.01,0.93
13,0.01,0.92
14,0.01,0.93
15,0.01,0.92
16,0.01,0.92
17,0.01,0.93
18,0.01,0.92
19,0.01,0.92
20,0.01,0.92
21,0.01,0.92
1,0.02,1
2,0.02,0.98
3,0.02,0.98
4,0.02,0.98
5,0.02,0.98
6,0.02,0.98
7,0.02,0.98
8,0.02,0.97
9,0.02,0.97
10,0.02,0.96
11,0.02,0.96
12,0.02,0.97
13,0.02,0.97
14,0.02,0.96
15,0.02,0.96
16,0.02,0.95
17,0.02,0.96
18,0.02,0.94
19,0.02,0.94
20,0.02,0.94
21,0.02,0.94
1,0.03,1.05
2,0.03,1.03
3,0.03,1.03
4,0.03,1.03
5,0.03,1.03
6,0.03,1.03
7,0.03,1.02
8,0.03,1
9,0.03,1.01
10,0.03,1
11,0.03,1
12,0.03,1
13,0.03,0.99
14,0.03,1
15,0.03,0.99
16,0.03,0.97
17,0.03,0.97
18,0.03,0.97
19,0.03,0.97
20,0.03,0.97
21,0.03,0.97
1,0.04,1.12
2,0.04,1.08
3,0.04,1.08
4,0.04,1.07
5,0.04,1.07
6,0.04,1.07
7,0.04,1.07
8,0.04,1.06
9,0.04,1.05
10,0.04,1.04
11,0.04,1.04
12,0.04,1.03
13,0.04,1.03
14,0.04,1.03
15,0.04,1.03
16,0.04,1
17,0.04,1
18,0.04,1.01
19,0.04,0.99
20,0.04,0.99
21,0.04,0.99
1,0.05,1.19
2,0.05,1.14
3,0.05,1.13
4,0.05,1.12
5,0.05,1.12
6,0.05,1.12
7,0.05,1.11
8,0.05,1.11
9,0.05,1.09
10,0.05,1.08
11,0.05,1.08
12,0.05,1.07
13,0.05,1.06
14,0.05,1.07
15,0.05,1.06
16,0.05,1.03
17,0.05,1.05
18,0.05,1.04
19,0.05,1.02
20,0.05,1.02
21,0.05,1.02
1,0.06,1.27
2,0.06,1.21
3,0.06,1.19
4,0.06,1.19
5,0.06,1.19
6,0.06,1.18
7,0.06,1.17
8,0.06,1.17
9,0.06,1.15
10,0.06,1.13
11,0.06,1.13
12,0.06,1.1
13,0.06,1.1
14,0.06,1.12
15,0.06,1.1
16,0.06,1.07
17,0.06,1.08
18,0.06,1.07
19,0.06,1.05
20,0.06,1.05
21,0.06,1.04
1,0.07,1.35
2,0.07,1.28
3,0.07,1.26
4,0.07,1.25
5,0.07,1.24
6,0.07,1.23
7,0.07,1.23
8,0.07,1.23
9,0.07,1.21
10,0.07,1.19
11,0.07,1.18
12,0.07,1.16
13,0.07,1.14
14,0.07,1.16
15,0.07,1.16
16,0.07,1.11
17,0.07,1.11
18,0.07,1.09
19,0.07,1.08
20,0.07,1.08
21,0.07,1.07
1,0.08,1.48
2,0.08,1.37
3,0.08,1.35
4,0.08,1.34
5,0.08,1.34
6,0.08,1.33
7,0.08,1.32
8,0.08,1.3
9,0.08,1.28
10,0.08,1.26
11,0.08,1.24
12,0.08,1.22
13,0.08,1.2
14,0.08,1.2
15,0.08,1.21
16,0.08,1.16
17,0.08,1.16
18,0.08,1.14
19,0.08,1.12
20,0.08,1.12
21,0.08,1.11
1,0.09,1.64
2,0.09,1.47
3,0.09,1.46
4,0.09,1.43
5,0.09,1.43
6,0.09,1.41
7,0.09,1.41
8,0.09,1.39
9,0.09,1.36
10,0.09,1.34
11,0.09,1.31
12,0.09,1.29
13,0.09,1.26
14,0.09,1.26
15,0.09,1.27
16,0.09,1.22
17,0.09,1.2
18,0.09,1.19
19,0.09,1.16
20,0.09,1.16
21,0.09,1.14
1,0.1,
2,0.1,1.6
3,0.1,1.58
4,0.1,1.55
5,0.1,1.55
6,0.1,1.51
7,0.1,1.52
8,0.1,1.49
9,0.1,1.44
10,0.1,1.42
11,0.1,1.39
12,0.1,1.37
13,0.1,1.31
14,0.1,1.3
15,0.1,1.33
16,0.1,1.26
17,0.1,1.24
18,0.1,1.23
19,0.1,1.2
20,0.1,1.19
21,0.1,1.18
1,0.11,
2,0.11,
3,0.11,1.77
4,0.11,1.73
5,0.11,1.71
6,0.11,1.68
7,0.11,1.66
8,0.11,1.62
9,0.11,1.55
10,0.11,1.52
11,0.11,1.49
12,0.11,1.48
13,0.11,1.4
14,0.11,1.37
15,0.11,1.4
16,0.11,1.33
17,0.11,1.32
18,0.11,1.28
19,0.11,1.25
20,0.11,1.24
21,0.11,1.22
1,0.12,
2,0.12,
3,0.12,
4,0.12,
5,0.12,
6,0.12,
7,0.12,
8,0.12,
9,0.12,1.72
10,0.12,1.67
11,0.12,1.65
12,0.12,1.64
13,0.12,1.52
14,0.12,1.45
15,0.12,1.49
16,0.12,1.4
17,0.12,1.38
18,0.12,1.35
19,0.12,1.31
20,0.12,1.29
21,0.12,1.27
