Unit,time,wear
1,45.3,6.5
2,46.5,6.4
3,47.1,6.2
4,48.1,6.4
5,49,6.3
6,49.7,5.8
7,50.4,7.7
8,50.5,5.7
9,50.8,7.5
10,51.2,7.3
11,53.3,7.2
12,54.3,7.3
13,54.4,7.7
18,56,8.3
19,56.2,8.3
20,56.3,7.6
21,57.2,7.5
22,57.4,8
23,57.5,7.3
24,58,8.8
25,58.3,7
26,58.4,8.9
27,58.5,9.6
28,58.7,7.2
29,58.7,6.9
30,59.1,9.2
35,61.3,6.4
36,61.4,8.8
37,61.7,8.2
38,61.9,8.5
39,62,8.1
40,62.6,8.5
41,62.7,8.6
42,62.8,8.6
43,63.8,10.1
44,63.9,8.8
45,63.9,8.9
46,64.3,9.3
47,64.3,8.1
52,65,9.9
53,65.3,9.4
54,68,9
55,68.2,8.8
56,68.2,10
57,68.6,10
58,69.7,9.9
59,70.2,11.2
60,70.8,11
61,71.2,10.7
62,71.3,9.9
63,71.8,10.8
64,72,9.4
69,73,10
70,73.7,8.4
71,73.7,11.1
72,74.5,10.2
73,75.2,8.8
74,75.4,10.8
75,75.5,11.5
76,75.9,8.6
77,76.9,10.1
78,77.4,12.8
79,77.8,10.4
80,78.2,9.9
81,79.1,10.3
86,80.5,11.9
87,80.8,12.5
88,80.8,10.5
89,80.9,12.8
90,81.9,13
91,82.4,10.8
92,83.2,11.2
93,84,13.5
94,84.3,11.7
95,85.3,12.3
96,87.4,12.5
97,87.5,11.6
98,87.6,13.2
14,54.8,7.4
15,55.1,8.3
16,55.3,9.8
17,56,8.6
31,59.2,8.9
32,59.3,9.4
33,59.5,9.2
34,60.2,9.4
48,64.7,8.6
49,64.8,10.2
50,64.8,7.8
51,64.9,10.6
65,72.2,9.7
66,72.3,11.1
67,72.6,9.7
68,72.6,10.3
82,79.1,11.2
83,79.4,11.4
84,79.7,12
85,80.3,11.6
99,88,13.5
100,89.3,13.8
